"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Pesach II","4/16/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/17/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/18/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/19/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/20/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/21/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/22/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/28/2014",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/30/2014",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","5/1/2014",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","5/5/2014",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","5/6/2014",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/14/2014",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","5/18/2014",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/28/2014",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/30/2014",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","6/3/2014",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","6/4/2014",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/5/2014",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/28/2014",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/29/2014",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/15/2014",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Rosh Chodesh Av","7/28/2014",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","8/2/2014",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","8/4/2014",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/5/2014",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","8/9/2014",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Rosh Chodesh Elul","8/26/2014",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/27/2014",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Erev Rosh Hashana","9/24/2014",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5775","9/25/2014",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/26/2014",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Shabbat Shuva","9/27/2014",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Tzom Gedaliah","9/28/2014",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Erev Yom Kippur","10/3/2014",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/4/2014",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/8/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/9/2014",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/10/2014",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/11/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/12/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/13/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/14/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/15/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/16/2014",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/17/2014",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/24/2014",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/25/2014",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/23/2014",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/16/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/17/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/18/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/19/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/20/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/21/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/22/2014",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/22/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/23/2014",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/23/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/24/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","1/1/2015",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/21/2015",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","2/4/2015",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shekalim","2/14/2015",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/19/2015",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/20/2015",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Shabbat Zachor","2/28/2015",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/4/2015",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/4/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/5/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/6/2015",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/14/2015",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Rosh Chodesh Nisan","3/21/2015",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","3/21/2015",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat HaGadol","3/28/2015",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/3/2015",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/3/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/5/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/6/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/7/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/8/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/9/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/10/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/11/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/16/2015",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/19/2015",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/20/2015",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","4/22/2015",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/23/2015",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/3/2015",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","5/7/2015",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/17/2015",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/19/2015",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","5/23/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/24/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/25/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/17/2015",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/18/2015",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/5/2015",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Rosh Chodesh Av","7/17/2015",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","7/25/2015",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","7/25/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/26/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","8/1/2015",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Rosh Chodesh Elul","8/15/2015",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/16/2015",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Erev Rosh Hashana","9/13/2015",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5776","9/14/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/15/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","9/16/2015",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","9/19/2015",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","9/22/2015",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/23/2015",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/27/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/28/2015",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/29/2015",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/30/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/1/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/2/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/3/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/4/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/5/2015",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/6/2015",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/13/2015",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/14/2015",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/12/2015",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/13/2015",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/6/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/7/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/8/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/9/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/10/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/11/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/12/2015",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/13/2015",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/13/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/14/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/22/2015",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/11/2016",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/25/2016",,,,"true","New Year for Trees","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/9/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/10/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Purim Katan","2/23/2016",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Shabbat Shekalim","3/5/2016",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/10/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/11/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Shabbat Zachor","3/19/2016",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/23/2016",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/23/2016",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/24/2016",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
